Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
FIVN11;Shoppings;3.68;6641;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;65491905.42;6.96;0.53;;;;;56.00;;1
BZLI11;Títulos e Val Mob;17.00;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.68;0.68;1.14;440205505.76;10.78;1.58;;;;;;;0
XTED11;Lajes Corporativas;7.26;689;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;1.10;-37.83;2785416.91;13.78;0.53;;;;;0.00;100.00;1
ALMI11;Lajes Corporativas;904.00;57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.27;2.27;-28.29;250158727.48;2250.09;0.40;;;;;64.05;;1
PABY11;Híbrido;8.39;65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-19.84;-19.84;-31.62;-10950151.50;-14.44;-0.58;;;;;;;1
ORPD11;Títulos e Val Mob;93.00;3;1.38;;;;;;;;;;;;43238325.61;149.10;0.62;;;;;;;0
FISC11;Lajes Corporativas;165.00;200;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;196478286.31;115.58;1.43;;;;;;;0
ATSA11;Shoppings;83.50;1;0.25;0.18;0.59;1.30;2.97;0.20;0.22;0.25;0.37;0.74;0.92;1.10;157775604.53;90.10;0.93;0.06;0.19;0.24;0.24;21.90;;1
CXTL11;Logística;379.00;1;0.48;0.16;0.67;1.29;0.00;0.22;0.22;0.00;0.42;-6.12;-5.97;-5.73;372853.28;690.86;0.55;0.04;-1.61;-1.57;-1.46;61.00;;3
HTMX11;Hotel;116.80;2798;0.00;0.00;0.80;2.20;5.41;0.27;0.37;0.45;0.80;-28.14;-28.14;-32.26;16419201.82;130.62;0.89;;;;;65.00;;23
GSFI11;Shoppings;4.57;2425;0.00;0.03;0.03;0.03;0.03;0.01;0.00;0.00;0.03;0.00;0.03;0.03;108886224.64;13.42;0.34;;;;;10.30;;10
NEWU11;Lajes Corporativas;35.00;27;0.00;0.00;0.00;0.56;16.63;0.00;0.09;1.39;0.61;-4.04;-4.04;-31.62;48123818.78;64.86;0.54;;;;;63.20;;3
PRSV11;Lajes Corporativas;113.49;22;1.62;0.42;1.53;2.91;5.95;0.51;0.48;0.50;4.46;5.30;5.74;-11.25;4762208.57;244.22;0.46;;;;;40.90;;2
FAMB11B;Lajes Corporativas;792.13;13;9.16;0.56;2.17;4.78;10.43;0.72;0.80;0.87;8.82;-47.80;-47.51;-47.80;3209373.43;354.32;0.26;;;;;100.00;;1
FMOF11;Lajes Corporativas;61.80;5;0.64;;;;;;;;;;;;62339721.97;122.71;0.50;;;;;52.08;;1
HGRS11;Residencial;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;151283672.82;101.33;;;;;;;;0
KNRE11;Residencial;0.95;498;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2141267.51;1.15;0.82;;;;;;;0
RBDS11;Residencial;3.71;139;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2605642.65;20.59;0.18;;;;;;;0
WTSP11B;Híbrido;36.23;4;0.32;0.76;2.57;4.67;6.85;0.86;0.78;0.57;0.76;0.00;0.76;0.76;82488951.36;83.11;0.44;;;;;;;0
OULG11;Outros;45.60;808;0.17;0.38;1.14;3.40;8.03;0.38;0.57;0.67;1.50;3.09;3.48;-3.91;180805973.24;72.87;0.63;;;;;0.00;;2
VXXV11;Outros;917.00;8830;10.76;;;;;;;;;;;;23148350.85;876.17;1.05;;;;;;;0
BICE11;Títulos e Val Mob;950.00;240;5.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;20682601.39;981.57;0.97;1.63;-0.68;0.93;1.54;;;0
HRDF11;Híbrido;1.06;361;6.80;;;;;;;;;;;;8722671.42;1.15;0.92;;;;;;;0
CJCT11;Lajes Corporativas;82.00;1431;0.00;;;;;;;;;;;;231360831.28;80.61;1.02;;;;;59.00;;1
LFTT11;Residencial;87.98;22;0.75;;;;;;;;;;;;394603196.49;53.29;1.65;;;;;;;0
HCRI11;Hospital;244.64;269;2.49;0.88;2.36;4.77;9.33;0.79;0.80;0.78;1.62;-18.08;-17.35;-16.74;59962597.07;299.81;0.82;;;;;0.00;;1
DRIT11B;Lajes Corporativas;89.00;2;0.33;0.28;0.80;0.00;0.00;0.27;0.00;0.00;1.28;5.78;6.07;-7.42;58337901.67;125.92;0.71;;;;;10.47;;6
