Number;Description;Development_Type;Dev_Cat;Affect_RPA;Dev_Sprint;Effort;Assignment_group
RITM0399426;Incluir um filtro no Dashboard Automation View para possibilitar filtrar um ou mais tipo de automação. Atualmente o Dashboard mostra RPA, Automic etc sem possibilidade de selecionar o tipo de automação desejada.;Dashboards and Reports;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0419622;"Criar consulta para identificar oportunidades de automação de atividades.
Filtrar por esteira, processo e por período de tempo de:
- Quantidade de requests por oferta de serviço;
- Tempos das rotinas";Dashboards and Reports;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0425367;"Desenvolver solução de manutenção de cadastro de ofertas de serviço e workflow.

Abaixo alguns requisitos.

- Processo:
 - Registro e aprovação da solicitação (visão usuário final)
 - Aprovação funcional (process owner)
 - Passo de teste em QA
 - Treinamento dos responsáveis por manter o cadastro
 - Definir processo e papéis
- Cadastro da mudança:
 - Tela para manutenção do cadastro da oferta de serviço / workflow
 - Responsabilidade pelo cadastro no DEV com usuários chaves das esteiras
 - Avaliar conhecimento necessário para cadastro de passos condicionais / regras de localização
 - Avaliar alterações que devem ser mantidas no Service Center
 - Permissão para alteração apenas em nova versão do workflow (bloquear versão de produção)
- Funcionalidades:
 - Clone de oferta de serviço / workflow
 - Mudanças em massa (avaliar necessidade / prioridade)
 - Cadastro de traduções
 - Versionamento de workflow (registro de texto explicando função da nova versão)
 - Ambiente para testes e descarte de workflow
- Transporte:
 - Controle de transporte para QA / Produção
 - Rotina de transporte para QA / Produção
 - Controle de versão da ofertas de serviços e workflows atualmente liberada para produção
 - Mecanismo para associar solicitações em andamento em versão nova do workflow";Workflows and Tasks;;No;12;50;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM0429820;Hoje após o usuário solicitar um serviço no portal a única maneira dele cancelar a solicitação é ligando para os SDs. Colocar um botão de abortar missão.;Portal (Employees / Internal Users);;No;12;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0461779;"Conforme INC0038736, houveram erros de integração entre ServiceNow e SalesForce, onde o consumo do semaforo API_INT atingiu o limite de processamento, gerando erro ""429"" nas demais aplicações que se integram com a ServiceNow. 

Necessário criar um alerta / dashboard para monitorar este consumo de semáforo, de forma a antecipar este problema e evitar que a plataforma faça o bloqueio de chamadas REST para outras aplicações.

Avaliar a tabela que registra a quantidade de semaforos utilizados, conforme URL: https://wbs.myweg.net/stats.do

Detalhamento do problema informado pela ServiceNow, (case aberto no Hi Portal CS5758263):

You can see that it these calls are taking several minutes, and in turn keeping the queue full until you get a 429 error code

API_INT-thread-2   /api/ibmwe/salesforce_integration/AddNotes           2021-11-18 10:57:11  0:04:28  2585239  5B19B893977778D090229C14A253AFF7

weg017     API_INT-thread-3   /api/ibmwe/salesforce_integration/AddNotes           2021-11-18 10:57:18  0:04:21  2585338  6C293453977778D090229C14A253AF43
weg017     API_INT-thread-4   /api/ibmwe/salesforce_integration/AddNotes           2021-11-18 10:58:19  0:03:20  2586213  8E59BC97977778D090229C14A253AFDF
weg013     API_INT-thread-1   /api/ibmwe/salesforce_integration/AddNotes           2021-11-18 11:00:50  0:00:50  2239027  09F97C9B477330D017337942846D43C5
weg017     API_INT-thread-1   /api/ibmwe/salesforce_integration/AddNotes           2021-11-18 11:01:14  0:00:25  2587238  349938D7977778D090229C14A253AF5F


semaphore set  AMB_RECEIVE  AMB_SEND  API_INT  Debug  Default  Presence
-------------  -----------  --------  -------  -----  -------  --------
weg013               0 / 4     0 / 4    1 / 4  0 / 4  13 / 16     0 / 8
weg017               0 / 4     0 / 4    4 / 4  0 / 4   7 / 16     0 / 8";Dashboards and Reports;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0482532;"Nos dashboards de acompanhamento de solicitações (RITM, TASK, INC) é necessário separar as informações por hubs, a fim de permitir que os gestores consigam filtrar as informações de acordo com sua localidade.
";Dashboards and Reports;;No;9;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0498853;"Para o formulário ""Solicitar Cadastro de pagamentos - opção B1"" necessário construir integração com o B1 para enviarmos as solicitações de pagamento para o B1 via Service Now.
Obs. para o ECC já há integração desenvolvida.

Para o B1 - Necessário desenvolver/ realizar testes para a  API a seguir para verificarmos se conseguimos realizar a integração com o B1.

[11:57] Julia Grando
a API é esta: 
PurchaseInvoicesService

[11:59] Julia Grando
Service Now para B1
Fornecedor – OPCH.CardCode
Nº NF – OPCH.Serial
Descrição – PCH1.Dscription
Conta do Razão – PCH1.AcctCode
Projeto – PCH1.Project
Centro de Custo – PCH1.OcrCode
Total – PCH1.LineTotal 

Valores fixos
Sujeito a IRF – PCH1.WtLiable = N
Código de imposto – PCH1.TaxCode = ISENTO";Service Catalog;;No;SP 6;24;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0500760;Solução para atendimento - Fale Conosco WEG, conforme requisitos em anexo.;Integrations (SalesForce, SAP,  B1, Automic, Active Directory, etc.);;No;10;274;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0504678;"Nos formulários OTC_038 / OTC_044 / OTC_250 / OTC_257 / OTC_263 / OTC_290 incluir coluna empresa no multirow, sendo essa a primeira coluna.
Buscar dado da mesma tabela já existente.
Já temos outros ajustes para esses formulários que devem ser feito junto. (INC0029846 e INC0029827)";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0510405;"Desenvolver oferta de serviço ""Solicitação de Melhoria de Processos""  para a Seção de Otimização e Automação de Processos (OAP).   Temos definidos o Formulario e seus campos, o Workflow steps e a fila de atendimento. Temos o fluxo no Bizagi, mas não permite anexar aqui na solicitação.";Service Catalog;;;;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
